CASE ID,APPLICATIONTYPE,LOANGOAL,REQUESTEDAMOUNT
Application_1000386745,New credit,Car,5000.0
Application_1001177986,New credit,Existing loan takeover,26000.0
Application_1001866944,New credit,Car,10000.0
Application_1002013470,New credit,Home improvement,17000.0
Application_1002348901,New credit,Car,15000.0
Application_1003264681,Limit raise,Home improvement,20000.0
Application_1003445359,New credit,Existing loan takeover,15000.0
Application_1003575962,New credit,Existing loan takeover,42000.0
Application_1003639640,Limit raise,Home improvement,40000.0
Application_1004293292,New credit,Car,14000.0
Application_100433898,New credit,Car,15700.0
Application_1004385970,New credit,Car,10000.0
Application_1004667877,New credit,"Other, see explanation",5000.0
Application_1004943461,Limit raise,Unknown,9000.0
Application_1005586643,Limit raise,Unknown,10000.0
Application_1005878170,New credit,Existing loan takeover,45000.0
Application_1006138809,New credit,Existing loan takeover,20000.0
Application_1006457880,New credit,Existing loan takeover,27000.0
Application_1006959642,New credit,Car,5000.0
Application_1007147744,New credit,Car,20000.0
Application_1007290684,New credit,Not speficied,25000.0
Application_1007423229,New credit,Car,22000.0
Application_1007501706,New credit,Existing loan takeover,45000.0
Application_1007601292,New credit,Home improvement,25000.0
Application_100833857,New credit,Home improvement,38300.0
Application_1008474739,New credit,Car,7000.0
Application_100853745,New credit,Car,10000.0
Application_1008663678,New credit,Home improvement,5000.0
Application_1008776960,New credit,Car,12000.0
Application_1008848932,New credit,Car,25000.0
Application_100896625,New credit,Not speficied,15000.0
Application_1009604939,New credit,Motorcycle,10400.0
Application_1009728487,New credit,Boat,75000.0
Application_101013624,New credit,"Other, see explanation",8000.0
Application_1010273024,Limit raise,Home improvement,26000.0
Application_1010578897,New credit,Existing loan takeover,5000.0
Application_1010651948,New credit,Car,18000.0
Application_1010657155,New credit,Existing loan takeover,9000.0
Application_1011449253,New credit,"Other, see explanation",21800.0
Application_1011657063,New credit,Existing loan takeover,30000.0
Application_1011933027,New credit,Not speficied,5000.0
Application_1012036369,Limit raise,"Other, see explanation",26000.0
Application_1012362506,New credit,Home improvement,25000.0
Application_1012714056,New credit,Car,25700.0
Application_1012727008,New credit,Car,8000.0
Application_1014301064,New credit,Unknown,0.0
Application_1014473740,New credit,Home improvement,20000.0
