Case ID,Application Type,Loan Goal,Requested Amount,First Credit Score,Last Credit Score,Having Call to Complete Application,Number of Offers,First Offer,Last Offer,First Offers Monthly Cost,Last Offers Monthly Cost,Throughput Times,Results
"Application_1000386745","New credit","Car",5000,1080,1080,0,1,5000,5000,100.25,100.25,10.97740740740741,"Successful completion"
"Application_1001177986","New credit","Existing loan takeover",26000,972,972,0,1,26000,26000,264.74,264.74,28.41957175925926,"Successful completion"
"Application_1001866944","New credit","Car",10000,896,896,0,1,25000,25000,535.22,535.22,35.8184375,"Successful completion"
"Application_1002013470","New credit","Home improvement",17000,0,0,0,1,17000,17000,319.2,319.2,21.84633101851852,"Denied by the bank"
"Application_1002348901","New credit","Car",15000,0,0,0,1,15000,15000,157.59,157.59,31.42853009259259,"Cancelled by client"
"Application_1003264681","Limit raise","Home improvement",20000,0,0,0,1,20000,20000,350,350,16.94679398148148,"Successful completion"
"Application_1003445359","New credit","Existing loan takeover",15000,959,959,0,1,15000,15000,250,250,12.59988425925926,"Successful completion"
"Application_1003575962","New credit","Existing loan takeover",42000,0,0,0,1,42000,42000,420,420,34.43005787037037,"Cancelled by client"
"Application_1003639640","Limit raise","Home improvement",40000,881,881,0,1,40000,40000,400,400,8.059918981481481,"Successful completion"
"Application_1004293292","New credit","Car",14000,946,946,0,1,15000,15000,280,280,10.74043981481482,"Successful completion"
"Application_100433898","New credit","Car",15700,781,781,0,1,15700,15700,343.63,343.63,6.89625,"Successful completion"
"Application_1004385970","New credit","Car",10000,1004,1004,0,1,10000,10000,189.08,189.08,10.16670138888889,"Successful completion"
"Application_1004667877","New credit","Other, see explanation",5000,895,895,0,1,5000,5000,100,100,30.25361111111111,"Successful completion"
"Application_1004943461","Limit raise","Unknown",9000,0,0,0,1,13200,13200,264,264,9.077291666666667,"Successful completion"
"Application_1005586643","Limit raise","Unknown",10000,0,0,0,1,10000,10000,232.82,232.82,7.001782407407408,"Successful completion"
"Application_1005878170","New credit","Existing loan takeover",45000,0,920,1,2,45000,40000,470.67,418.37,19.06310185185185,"Successful completion"
"Application_1006138809","New credit","Existing loan takeover",20000,0,750,0,2,15600,14500,187.55,179.6,16.6937037037037,"Successful completion"
"Application_1006457880","New credit","Existing loan takeover",27000,926,0,0,2,27500,27500,280.01,280.01,13.86512731481482,"Successful completion"
