CASE ID,TICKET TYPE,MEMBERSHIP,PRIORITY,RESOURCE OF STARTING ACTIVITY,NUMBER OF ACTIVE CASES AT START,Decision
"Case 1","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 10","Task","Premium","Normal","Res4",18,"False/No-Wait"
"Case 100","Task","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1000","Incident","Gold","Urgent","Res8",18,"False/No-Wait"
"Case 1001","Task","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1002","Task","Gold","High","Res3",18,"False/No-Wait"
"Case 1003","Task","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1004","Incident","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1005","Task","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1006","Question","Gold","High","Res4",18,"False/No-Wait"
"Case 1007","Task","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1008","Task","Gold","High","Res8",18,"False/No-Wait"
"Case 1009","Task","Premium","High","Res8",18,"True/Wait"
"Case 101","Question","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1010","Task","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1011","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1012","Incident","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1013","Question","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1014","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1015","Incident","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1016","Question","Gold","High","Res8",18,"False/No-Wait"
"Case 1017","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1018","Task","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1019","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 102","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1020","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1021","Question","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1022","Question","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1023","Task","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1024","Task","Gold","High","Res4",18,"False/No-Wait"
"Case 1025","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1026","Task","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1027","Task","Premium","Normal","Res3",18,"True/Wait"
"Case 1028","Task","Gold","High","Res4",18,"False/No-Wait"
"Case 1029","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 103","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1030","Incident","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1031","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1032","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1033","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1034","Question","Gold","High","Res8",18,"False/No-Wait"
