CASE ID,TICKET TYPE,MEMBERSHIP,PRIORITY,Performance class
"Case 1","Question","Gold","Normal","Short"
"Case 10","Task","Premium","Normal","Long"
"Case 100","Task","Premium","Normal","Long"
"Case 1000","Incident","Gold","Urgent","Medium"
"Case 1001","Task","Premium","Normal","Medium"
"Case 1002","Task","Gold","High","Short"
"Case 1003","Task","Premium","Normal","Medium"
"Case 1004","Incident","Premium","Normal","Short"
"Case 1005","Task","Premium","Normal","Long"
"Case 1006","Question","Gold","High","Long"
"Case 1007","Task","Premium","Normal","Long"
"Case 1008","Task","Gold","High","Medium"
"Case 1009","Task","Premium","High","Medium"
"Case 101","Question","Premium","Normal","Long"
"Case 1010","Task","Premium","Normal","Medium"
"Case 1011","Question","Gold","Normal","Long"
"Case 1012","Incident","Premium","Normal","Short"
"Case 1013","Question","Premium","Normal","Medium"
"Case 1014","Task","Premium","Normal","Short"
"Case 1015","Incident","Gold","Normal","Short"
"Case 1016","Question","Gold","High","Long"
"Case 1017","Task","Premium","Normal","Medium"
"Case 1018","Task","Premium","Normal","Long"
"Case 1019","Task","Premium","Normal","Short"
"Case 102","Question","Gold","Normal","Long"
"Case 1020","Task","Premium","Normal","Long"
"Case 1021","Question","Premium","Normal","Medium"
"Case 1022","Question","Premium","Normal","Short"
"Case 1023","Task","Premium","Normal","Short"
"Case 1024","Task","Gold","High","Medium"
"Case 1025","Task","Premium","Normal","Long"
"Case 1026","Task","Premium","Normal","Medium"
"Case 1027","Task","Premium","Normal","Medium"
"Case 1028","Task","Gold","High","Short"
"Case 1029","Question","Gold","Normal","Short"
"Case 103","Task","Premium","Normal","Medium"
"Case 1030","Incident","Premium","Normal","Medium"
"Case 1031","Task","Premium","Normal","Long"
"Case 1032","Task","Premium","Normal","Long"
"Case 1033","Task","Premium","Normal","Long"
"Case 1034","Question","Gold","High","Short"
"Case 1035","Incident","Premium","Normal","Short"
"Case 1036","Task","Gold","High","Short"
"Case 1037","Question","Gold","Normal","Long"
"Case 1038","Question","Gold","High","Medium"
"Case 1039","Incident","Gold","High","Short"
"Case 104","Question","Gold","High","Medium"
"Case 1040","Question","Premium","Normal","Medium"
"Case 1041","Question","Premium","High","Medium"
"Case 1042","Question","Gold","Normal","Short"
"Case 1043","Task","Premium","Normal","Long"
"Case 1044","Question","Premium","Normal","Medium"
"Case 1045","Task","Gold","Normal","Long"
"Case 1046","Question","Gold","High","Long"
"Case 1047","Task","Premium","Normal","Medium"
"Case 1048","Task","Premium","Normal","Medium"
"Case 1049","Question","Gold","Normal","Medium"
"Case 105","Task","Gold","Normal","Short"
"Case 1050","Task","Premium","Normal","Medium"
"Case 1051","Incident","Premium","Normal","Medium"
"Case 1052","Question","Gold","High","Long"
"Case 1053","Task","Premium","High","Medium"
"Case 1054","Task","Premium","Normal","Medium"
"Case 1055","Question","Gold","Normal","Short"
"Case 1056","Question","Premium","Urgent","Short"
"Case 1057","Task","Premium","Normal","Long"
"Case 1058","Task","Premium","Normal","Medium"
"Case 1059","Question","Gold","Normal","Medium"
"Case 106","Incident","Premium","Normal","Short"
"Case 1060","Question","Premium","Normal","Short"
"Case 1061","Task","Premium","Normal","Long"
"Case 1062","Task","Premium","Normal","Long"
"Case 1063","Question","Gold","Normal","Long"
"Case 1064","Question","Premium","Normal","Long"
"Case 1065","Incident","Premium","High","Short"
"Case 1066","Question","Premium","High","Long"
