Case ID,Ticket type,Membership
Case 3608,Question,Premium
Case 2748,Incident,Premium
Case 4284,Task,Gold
Case 1534,Incident,Premium
Case 406,Incident,Gold
Case 4539,Incident,Gold
Case 2118,Task,Premium
Case 3625,Task,Premium
Case 1621,Task,Premium
Case 390,Question,Gold
Case 1941,Incident,Gold
Case 404,Task,Premium
Case 791,Task,Premium
Case 1485,Task,Premium
Case 1000,Incident,Gold
Case 2915,Task,Premium
Case 1768,Incident,Premium
Case 1006,Question,Gold
Case 2742,Task,Premium
Case 1223,Question,Premium
Case 1703,Task,Premium
Case 4505,Question,Gold
Case 2441,Task,Premium
Case 588,Task,Premium
Case 1400,Incident,Gold
Case 1196,Incident,Gold
Case 1468,Task,Premium
Case 189,Question,Gold
Case 4378,Question,Premium
Case 3806,Task,Premium
Case 1030,Incident,Premium
Case 1798,Task,Gold
Case 2088,Task,Premium
Case 765,Task,Gold
Case 2131,Task,Gold
Case 1191,Task,Premium
Case 81,Task,Premium
Case 3918,Task,Gold
Case 899,Task,Premium
Case 1130,Question,Gold
Case 3849,Task,Premium
Case 360,Task,Premium
Case 3238,Question,Premium
Case 10,Task,Premium
Case 864,Task,Premium
Case 4290,Incident,Premium
Case 2817,Question,Premium
Case 3168,Task,Premium
Case 151,Incident,Gold
Case 1652,Task,Premium
Case 166,Question,Gold
Case 2933,Question,Gold
Case 2635,Question,Gold
Case 430,Question,Gold
Case 1352,Question,Gold
Case 2979,Task,Premium
Case 3332,Question,Gold
Case 2664,Task,Premium
Case 1399,Question,Gold
Case 3571,Task,Premium
Case 2865,Incident,Gold
Case 2559,Task,Premium
Case 2383,Task,Premium
Case 3068,Incident,Premium
Case 1701,Task,Gold
Case 4207,Task,Premium
Case 4392,Incident,Premium
Case 707,Question,Premium
Case 1328,Task,Gold
Case 3185,Question,Gold
Case 2502,Task,Gold
Case 1257,Question,Gold
Case 2006,Question,Gold
Case 1907,Task,Premium
Case 2369,Task,Premium
Case 3482,Task,Premium
Case 2004,Question,Gold
Case 940,Question,Gold
Case 599,Incident,Premium
Case 2387,Question,Premium
Case 3876,Incident,Gold
Case 271,Question,Gold
Case 846,Question,Gold
Case 4108,Question,Gold
Case 3130,Task,Premium
Case 3389,Question,Gold
Case 3004,Task,Premium
Case 92,Incident,Premium
Case 3084,Question,Gold
Case 2438,Incident,Premium
Case 2297,Incident,Gold
Case 2712,Task,Premium
Case 2680,Task,Premium
Case 3545,Task,Premium
Case 3597,Task,Gold
Case 4223,Task,Gold
Case 953,Question,Gold
Case 1245,Task,Premium
Case 2321,Task,Premium
Case 75,Task,Premium
Case 1789,Task,Premium
Case 3735,Question,Premium
Case 127,Question,Gold
Case 3724,Question,Gold
Case 800,Task,Premium
Case 4077,Question,Gold
Case 709,Question,Premium
Case 3187,Question,Premium
Case 90,Question,Gold
Case 2857,Task,Premium
Case 4078,Question,Gold
Case 2771,Incident,Premium
Case 2282,Task,Premium
Case 3883,Question,Gold
Case 3203,Incident,Premium
Case 2619,Task,Premium
Case 2874,Question,Gold
Case 1527,Question,Gold
Case 4168,Question,Gold
Case 2395,Question,Premium
Case 2410,Task,Premium
Case 2377,Task,Premium
Case 4336,Task,Premium
Case 1469,Task,Premium
Case 1472,Task,Premium
Case 609,Task,Premium
Case 3746,Task,Premium
Case 401,Task,Premium
Case 2683,Question,Gold
Case 259,Incident,Premium
Case 2815,Question,Gold
Case 3149,Question,Gold
Case 2072,Incident,Gold
Case 216,Question,Gold
Case 616,Task,Premium
Case 2804,Task,Premium
Case 3041,Task,Premium
Case 4577,Task,Premium
Case 3457,Task,Premium
Case 2570,Question,Premium
Case 2292,Incident,Gold
Case 273,Question,Gold
Case 1770,Task,Premium
Case 2106,Question,Gold
Case 351,Task,Premium
Case 3261,Question,Premium
Case 2001,Task,Premium
Case 4507,Question,Gold
Case 1277,Incident,Gold
Case 804,Task,Premium
Case 4358,Question,Premium
Case 2199,Question,Gold
Case 276,Question,Gold
Case 4496,Question,Gold
Case 2033,Task,Premium
Case 1394,Question,Gold
Case 3866,Question,Gold
Case 587,Task,Premium
Case 3316,Question,Gold
Case 4329,Task,Premium
Case 4008,Task,Premium
Case 3550,Question,Gold
Case 2745,Task,Premium
Case 4247,Question,Premium
Case 4412,Question,Premium
Case 808,Question,Premium
Case 3150,Task,Premium
Case 3756,Question,Premium
Case 130,Question,Gold
Case 651,Task,Premium
Case 2266,Question,Gold
Case 1097,Task,Premium
Case 2976,Task,Premium
Case 2993,Task,Premium
Case 363,Question,Premium
Case 1373,Task,Gold
Case 921,Task,Premium
